City,Population
"Abbotsford, BC, Canada",151683
"Abilene, TX, United States",121721
"Acapulco de Juárez, Mexico",673479
"Agua Prieta, Mexico",77254
"Aguascalientes, Mexico",722250
"Ahwatukee Foothills, AZ, United States",83464
"Ajax, ON, Canada",90167
"Akron, OH, United States",197542
"Alafaya, FL, United States",78113
"Alameda, CA, United States",78630
"Albany, GA, United States",74843
"Albany, NY, United States",98469
"Albuquerque, NM, United States",559121
"Alexandria, VA, United States",153511
"Alhambra, AZ, United States",127764
"Alhambra, CA, United States",85551
"Alief, TX, United States",98725
"Allen, TX, United States",98143
"Allentown, PA, United States",120207
"Alpharetta, GA, United States",63693
"Altamira, Mexico",59536
"Amarillo, TX, United States",198645
"Ames, IA, United States",65060
"Amherst, NY, United States",122366
"Amozoc de Mota, Mexico",77106
"Anaheim, CA, United States",350742
"Anchorage, AK, United States",298695
"Ann Arbor, MI, United States",117070
"Antioch, CA, United States",110542
"Apatzingán, Mexico",99010
"Apple Valley, CA, United States",72174
"Appleton, WI, United States",74139
"Arden-Arcade, CA, United States",92186
"Arlington Heights, IL, United States",75926
"Arlington, TX, United States",388125
"Arlington, VA, United States",207627
"Arvada, CO, United States",115368
"Asheville, NC, United States",88512
"Astoria, NY, United States",150165
"Atascocita, TX, United States",65844
"Athens, GA, United States",116714
"Atlanta, GA, United States",463878
"Atlixco, Mexico",86690
"Auburn, AL, United States",62059
"Auburn, WA, United States",77006
"Aurora, CO, United States",359407
"Aurora, IL, United States",200661
"Austin, TX, United States",931830
"Avondale, AZ, United States",80684
"Azcapotzalco, Mexico",414711
"Bakersfield, CA, United States",373640
"Baldwin Park, CA, United States",77071
"Baltimore, MD, United States",621849
"Barrie, ON, Canada",182041
"Baton Rouge, LA, United States",228590
"Bayonne, NJ, United States",66311
"Bayside, NY, United States",66455
"Baytown, TX, United States",76335
"Beaumont, TX, United States",118129
"Beaverton, OR, United States",96577
"Bellevue, WA, United States",139820
"Bellflower, CA, United States",78441
"Bellingham, WA, United States",85146
"Bend, OR, United States",87014
"Benito Juarez, Mexico",355017
"Bensalem, PA, United States",60427
"Bensonhurst, NY, United States",60000
"Berkeley, CA, United States",120972
"Bethesda, MD, United States",60858
"Bethlehem, PA, United States",74892
"Billings, MT, United States",110263
"Birmingham, AL, United States",212461
"Bismarck, ND, United States",71167
"Blaine, MN, United States",62124
"Bloomington, IL, United States",78292
"Bloomington, IN, United States",84067
"Bloomington, MN, United States",86435
"Boca Raton, FL, United States",93235
"Boise, ID, United States",145987
"Bolingbrook, IL, United States",74306
"Borough Park, NY, United States",149248
"Bossier City, LA, United States",68094
"Boston, MA, United States",667137
"Boulder, CO, United States",107349
"Bowling Green, KY, United States",63616
"Boynton Beach, FL, United States",73966
"Brampton, ON, Canada",433806
"Brandon, FL, United States",103483
"Brantford, ON, Canada",87759
"Brentwood, NY, United States",60664
"Bridgeport, CT, United States",147629
"Bristol, CT, United States",60452
"Brockton, MA, United States",95314
"Broken Arrow, OK, United States",106563
"Brooklyn Park, MN, United States",79149
"Brooklyn, NY, United States",2300664
"Broomfield, CO, United States",65065
"Brossard, QC, Canada",69575
"Brownsville, NY, United States",74497
"Brownsville, TX, United States",183887
"Bryan, TX, United States",82118
"Buena Park, CA, United States",83270
"Buenavista, Mexico",206081
"Buffalo, NY, United States",258071
"Burbank, CA, United States",105319
"Burlington, ON, Canada",164415
"Burnaby, BC, Canada",202799
"Burnsville, MN, United States",61481
"Bushwick, NY, United States",112620
"Cabo San Lucas, Mexico",68463
"Cadereyta Jiménez, Mexico",68111
"Cadereyta, Mexico",67994
"Calgary, AB, Canada",1019942
"Camarillo, CA, United States",67608
"Cambridge, MA, United States",110402
"Cambridge, ON, Canada",120372
"Camden, NJ, United States",76119
"Campeche, Mexico",220389
"Canarsie, NY, United States",87366
"Cancún, Mexico",628306
"Canton, MI, United States",86825
"Canton, OH, United States",71885
"Cape Coral, FL, United States",175229
"Carlsbad, CA, United States",113453
"Carmel, IN, United States",88713
"Carmichael, CA, United States",61762
"Carol City, FL, United States",63031
"Carrollton, TX, United States",133168
"Carson, CA, United States",93281
"Cary, NC, United States",159769
"Casas Adobes, AZ, United States",66795
"Casper, WY, United States",60285
"Castro Valley, CA, United States",61388
"Cárdenas, Mexico",91558
"Córdoba, Mexico",140896
"Cedar Park, TX, United States",65945
"Cedar Rapids, IA, United States",130405
"Celaya, Mexico",340387
"Centennial, CO, United States",109741
"Centreville, VA, United States",71135
"Chalco, Mexico",168720
"Champaign, IL, United States",86096
"Chandler, AZ, United States",260828
"Chapel Hill, NC, United States",59568
"Charleston, SC, United States",132609
"Charlotte, NC, United States",827097
"Chattanooga, TN, United States",176588
"Cheektowaga, NY, United States",75178
"Cherry Hill, NJ, United States",70475
"Chesapeake, VA, United States",235429
"Chetumal, Mexico",151243
"Cheyenne, WY, United States",63335
"Chicago, IL, United States",2720546
"Chico, CA, United States",90316
"Chicoloapan, Mexico",172919
"Chihuahua, Mexico",809232
"Chilliwack, BC, Canada",77000
"Chilpancingo, Mexico",187251
"Chino Hills, CA, United States",78309
"Chino, CA, United States",85595
"Cholula, Mexico",87897
"Chula Vista, CA, United States",265757
"Cicero, IL, United States",83886
"Cincinnati, OH, United States",296943
"Citrus Heights, CA, United States",87056
